,Kraj,Temp,Wilgotność,Wiatr,Zaludnienie,Siec drogowa,Iglaste ,Zachmurzenie ,Dni bez opadow
0,Afghanistan,25,35,27,60,5,2,36,12
1,Åland Islands,12,94,19,19,10,10,64,10
2,Albania,31,47,22,104,14,9,49,6
3,Algeria,24,61,13,18,65,0,51,9
4,American Samoa,26,87,20,276,121,0,85,7
5,Andorra,24,40,27,164,68,12,49,2
6,Angola,25,81,15,26,6,0,79,11
7,Anguilla,29,65,5,167,192,0,49,5
8,Antarctica,-15,13,6,1,0,0,41,10
9,Antigua and Barbuda,29,63,22,223,386,21,66,5
10,Argentina,12,52,12,17,10,12,69,12
11,Armenia,27,33,6,104,26,15,59,11
12,Aruba,30,57,8,593,1,16,62,4
13,Australia,9,77,18,3,11,14,85,6
14,Austria,24,42,7,108,151,57,39,4
15,Azerbaijan,25,48,8,122,23,35,67,10
16,Bahamas,28,66,13,39,19,3,47,10
17,Bahrain,33,44,11,2182,537,0,49,1
18,Bangladesh,28,81,2,1265,250,1,88,12
19,Barbados,29,74,19,668,395,5,82,11
20,Belarus,11,92,15,46,42,69,68,5
21,Belgium,21,38,12,381,388,43,59,12
22,Belize,29,76,7,17,14,0,50,7
23,Benin,31,69,15,108,14,0,58,10
24,Bermuda,26,72,9,1183,843,7,49,4
25,Bhutan,16,95,26,20,32,0,97,7
26,Bolivia (Plurinational State of),16,32,5,11,9,1,27,2
27,"Bonaire, Sint Eustatius and Saba",30,65,28,152,12,0,41,12
28,Bosnia and Herzegovina,27,47,12,64,45,38,33,10
29,Botswana,14,44,11,4,5,0,64,9
30,Bouvet Island,18,95,11,0,0,0,92,3
31,Brazil,18,81,12,25,23,1,76,11
32,British Indian Ocean Territory,18,85,16,202,132,3,76,10
33,Brunei Darussalam,26,100,27,83,52,0,66,7
34,Bulgaria,29,38,3,64,18,33,62,7
35,Burkina Faso,38,36,17,76,6,0,43,8
36,Burundi,25,70,15,463,44,0,59,5
37,Cabo Verde,29,68,17,138,34,6,56,3
38,Cambodia,31,41,16,95,30,1,38,1
39,Cameroon,27,73,6,56,13,0,79,11
40,Canada,18,56,25,4,10,92,71,8
41,Cayman Islands,28,82,20,274,297,0,62,9
42,Central African Republic,28,72,19,8,4,0,68,13
43,Chad,41,6,27,13,3,0,8,3
44,Chile,10,1,22,26,14,23,3,2
45,China,24,47,6,150,54,45,65,2
46,Christmas Island,23,94,13,10,1,23,70,5
47,Cocos (Keeling) Islands,26,79,1,43,2,0,68,5
48,Colombia,15,17,22,46,18,1,12,12
49,Comoros,25,77,14,467,39,0,80,13
50,Congo,29,64,14,16,7,0,51,0
51,"Congo, Democratic Republic of the",29,64,27,40,7,0,75,10
52,Cook Islands,23,74,23,73,125,0,77,8
53,Costa Rica,21,81,23,100,10,0,69,1
54,Côte d'Ivoire,31,66,15,83,28,0,46,10
55,Croatia,27,49,5,72,48,32,47,8
56,Cuba,24,81,0,109,59,9,75,1
57,Curaçao,30,63,20,349,124,0,48,11
58,Cyprus,27,53,7,131,215,68,32,11
59,Czechia,22,32,5,139,166,56,56,13
60,Denmark,13,79,16,146,171,32,61,9
61,Djibouti,33,60,6,43,12,0,69,11
62,Dominica,31,59,4,96,201,4,53,14
63,Dominican Republic,30,69,1,225,41,5,78,1
64,Ecuador,15,61,23,71,17,0,63,4
65,Egypt,32,30,22,203,17,2,46,7
66,El Salvador,28,61,18,312,43,2,64,8
67,Equatorial Guinea,29,84,18,50,10,0,72,12
68,Eritrea,22,26,5,35,14,0,31,8
69,Estonia,13,35,19,31,134,89,40,6
70,Eswatini,8,69,7,67,22,0,49,9
71,Ethiopia,20,37,5,102,11,0,38,11
72,Falkland Islands (Malvinas),13,82,2,1,4,77,66,13
73,Faroe Islands,10,83,18,35,69,0,61,12
74,Fiji,22,96,15,49,19,0,82,4
75,Finland,11,86,13,18,135,93,75,3
76,France,25,29,25,123,191,59,38,5
77,French Guiana,22,77,5,4,6,6,85,1
78,French Polynesia,24,84,24,80,65,3,51,7
79,French Southern Territories,6,84,26,1,0,0,64,13
80,Gabon,20,56,20,9,5,0,72,3
81,Gambia,29,68,22,239,26,0,53,5
82,Georgia,29,40,2,65,29,52,59,2
83,Germany,19,42,15,238,180,58,30,10
84,Ghana,29,79,5,137,46,0,73,12
85,Gibraltar,22,65,12,3369,483,41,47,4
86,Greece,31,28,10,83,89,75,43,8
87,Greenland,8,52,23,0,0,0,41,9
88,Grenada,25,40,9,331,328,2,49,2
89,Guadeloupe,31,66,26,237,10,1,76,10
90,Guam,27,90,0,312,190,0,73,3
91,Guatemala,21,76,18,157,16,2,54,4
92,Guernsey,17,75,24,863,12,34,59,11
93,Guinea,31,74,23,53,7,0,77,10
94,Guinea-Bissau,32,62,18,70,12,0,60,12
95,Guyana,28,84,28,4,2,11,65,13
96,Haiti,32,58,7,414,15,5,68,3
97,Heard Island and McDonald Islands,6,82,6,0,0,0,89,13
98,Holy See,28,44,17,2003,1203,50,62,3
99,Honduras,23,66,17,89,13,65,61,12
100,Hong Kong,27,83,27,7126,2107,24,65,10
101,Hungary,27,35,2,107,227,58,37,1
102,Iceland,9,69,27,4,13,97,72,2
103,India,30,79,13,464,189,1,86,12
104,Indonesia,25,95,24,146,28,3,81,3
105,Iran (Islamic Republic of),30,14,18,52,14,5,36,7
106,Iraq,39,11,22,93,10,4,30,10
107,Ireland,17,58,16,72,138,12,35,5
108,Isle of Man,14,82,11,149,87,14,61,12
109,Israel,24,68,1,426,89,13,56,1
110,Italy,29,43,23,200,162,24,53,13
111,Jamaica,31,63,12,273,201,8,41,6
112,Japan,20,84,26,345,93,67,77,9
113,Jersey,18,62,0,658,497,15,63,0
114,Jordan,27,37,11,115,8,13,51,1
115,Kazakhstan,17,37,7,7,34,83,42,9
116,Kenya,19,63,11,94,30,0,56,10
117,Kiribati,25,88,13,147,92,0,82,1
118,Korea (Democratic People's Republic of),16,94,24,214,21,79,57,1
119,"Korea, Republic of",19,82,20,532,111,77,51,3
120,Kuwait,38,18,28,240,32,0,32,11
121,Kyrgyzstan,20,57,18,34,17,17,62,12
122,Lao People's Democratic Republic,26,92,16,32,17,2,63,11
123,Latvia,16,56,7,31,110,69,56,4
124,Lebanon,23,75,21,667,208,76,56,4
125,Lesotho,7,42,18,71,20,0,32,1
126,Liberia,27,81,19,53,10,0,86,12
127,Libya,30,38,7,4,2,14,26,8
128,Liechtenstein,20,60,27,238,394,46,74,10
129,Lithuania,14,79,9,45,131,69,60,5
130,Luxembourg,22,33,14,259,111,47,40,4
131,Macao,27,92,5,19737,1427,4,84,2
132,Madagascar,14,76,19,48,5,1,64,14
133,Malawi,17,70,13,203,13,0,42,7
134,Malaysia,27,85,11,99,72,18,84,1
135,Maldives,29,82,16,1802,31,0,79,6
136,Mali,39,26,23,17,11,0,17,13
137,Malta,28,41,24,1610,713,14,53,4
138,Marshall Islands,23,80,16,329,1120,0,61,0
139,Martinique,31,60,9,354,193,22,65,13
140,Mauritania,37,25,4,5,1,0,17,7
141,Mauritius,23,84,3,624,123,0,54,11
142,Mayotte,25,71,3,728,156,0,65,8
143,Mexico,20,42,10,66,42,1,33,3
144,Micronesia (Federated States of),24,92,6,164,37,1,82,8
145,"Moldova, Republic of",28,47,1,91,28,33,35,4
146,Monaco,27,60,12,19631,3850,26,56,12
147,Mongolia,11,75,27,2,3,77,83,13
148,Montenegro,32,34,18,46,56,49,53,10
149,Montserrat,23,41,23,50,1,8,30,4
150,Morocco,23,61,22,83,14,87,43,13
151,Mozambique,22,58,16,40,4,0,72,0
152,Myanmar,27,87,17,83,23,2,91,11
153,Namibia,17,20,15,3,6,0,38,8
154,Nauru,26,94,14,542,143,0,82,14
155,Nepal,22,91,10,203,19,2,93,6
156,Netherlands,17,57,26,518,332,11,59,5
157,New Caledonia,21,74,10,15,30,55,61,11
158,New Zealand,11,96,19,19,36,61,75,12
159,Nicaragua,28,81,2,55,18,10,64,13
160,Niger,29,41,26,19,1,0,59,2
161,Nigeria,31,57,12,226,21,0,71,14
162,Niue,24,86,25,8,90,0,55,12
163,Norfolk Island,18,72,12,51,123,34,81,1
164,North Macedonia,29,45,0,82,55,59,30,0
165,Northern Mariana Islands,25,85,24,125,117,0,83,13
166,Norway,16,67,7,15,30,72,64,3
167,Oman,32,63,23,16,20,0,57,10
168,Pakistan,30,26,23,287,33,3,26,6
169,Palau,27,65,1,39,3,8,49,2
170,"Palestine, State of",22,48,7,798,78,12,48,4
171,Panama,28,75,18,58,21,5,47,12
172,Papua New Guinea,23,98,3,20,2,59,92,12
173,Paraguay,16,65,1,18,11,1,58,7
174,Peru,18,74,19,26,13,1,63,6
175,Philippines,28,82,18,368,72,7,82,14
176,Pitcairn,24,81,25,1,0,0,79,0
177,Poland,18,47,22,124,136,69,48,12
178,Portugal,21,70,15,112,26,10,78,12
179,Puerto Rico,24,59,4,370,303,0,53,8
180,Qatar,32,55,9,251,61,0,43,5
181,Réunion,21,73,19,358,178,0,47,3
182,Romania,29,40,19,84,52,51,27,11
183,Russian Federation,26,55,24,9,9,89,52,12
184,Rwanda,20,77,25,525,18,0,57,6
185,Saint Barthélemy,29,64,13,60,42,2,45,13
186,"Saint Helena, Ascension and Tristan da Cunha",17,80,11,16,162,2,71,8
187,Saint Kitts and Nevis,30,66,11,205,147,3,75,10
188,Saint Lucia,31,62,2,301,224,4,66,5
189,Saint Martin (French part),29,64,5,773,130,2,64,5
190,Saint Pierre and Miquelon,17,67,7,25,48,1,44,13
191,Saint Vincent and the Grenadines,31,68,5,284,125,1,42,2
192,Samoa,23,94,17,70,40,7,58,0
193,San Marino,25,51,22,566,479,19,32,10
194,Sao Tome and Principe,26,82,9,228,135,2,51,9
195,Saudi Arabia,36,11,15,16,10,12,47,7
196,Senegal,28,67,27,87,8,0,63,4
197,Serbia,29,52,6,79,52,77,53,4
198,Seychelles,26,81,26,214,115,0,64,14
199,Sierra Leone,29,88,24,111,16,1,72,5
200,Singapore,28,79,10,8019,489,27,65,5
201,Sint Maarten (Dutch part),29,64,3,1244,870,29,44,1
202,Slovakia,24,40,25,114,80,34,61,5
203,Slovenia,25,64,5,104,192,49,77,3
204,Solomon Islands,24,96,24,25,5,0,85,8
205,Somalia,27,78,3,25,2,0,56,10
206,South Africa,12,35,26,49,61,1,41,11
207,South Georgia and the South Sandwich Islands,-13,84,24,0,0,0,61,4
208,South Sudan,30,50,21,18,2,0,37,10
209,Spain,27,28,7,95,135,9,23,9
210,Sri Lanka,27,87,2,354,174,4,57,2
211,Sudan,39,20,8,24,1,0,40,13
212,Suriname,22,84,17,4,3,7,87,4
213,Svalbard and Jan Mayen,7,55,24,1,1,79,41,8
214,Sweden,12,90,2,25,127,84,60,13
215,Switzerland,24,53,25,219,204,57,49,9
216,Syrian Arab Republic,29,26,11,95,5,21,48,3
217,"Taiwan, Province of China",27,81,12,673,110,13,58,2
218,Tajikistan,22,51,21,69,21,14,54,7
219,"Tanzania, United Republic of",26,69,22,67,10,0,77,8
220,Thailand,29,81,0,137,35,23,64,3
221,Timor-Leste,26,91,14,89,40,54,62,14
222,Togo,30,75,13,152,21,0,81,11
223,Tokelau,26,87,21,136,112,0,65,8
224,Tonga,25,85,11,147,91,2,88,13
225,Trinidad and Tobago,25,92,14,273,163,4,67,8
226,Tunisia,34,28,14,76,12,44,30,3
227,Turkey,22,65,28,110,56,53,76,6
228,Turkmenistan,30,18,14,13,5,19,22,5
229,Turks and Caicos Islands,29,69,23,41,13,2,43,0
230,Tuvalu,27,85,25,393,31,0,57,5
231,Uganda,22,73,13,228,60,0,47,14
232,Ukraine,24,59,19,76,28,33,74,8
233,United Arab Emirates,33,48,2,139,5,0,59,13
234,United Kingdom of Great Britain and Northern Ireland,19,43,13,278,175,21,29,3
235,United States of America,31,54,22,36,91,75,44,13
236,United States Minor Outlying Islands,26,79,0,9,3,0,59,10
237,Uruguay,11,65,26,20,44,2,50,13
238,Uzbekistan,25,34,5,78,47,4,32,6
239,Vanuatu,27,83,3,25,9,0,78,5
240,Venezuela (Bolivarian Republic of),26,58,0,32,11,7,38,13
241,Viet Nam,28,81,2,314,172,6,59,10
242,Virgin Islands (British),28,69,21,250,157,0,44,3
243,Virgin Islands (U.S.),29,72,22,304,124,0,59,0
244,Wallis and Futuna,29,80,6,80,4,0,72,12
245,Western Sahara,23,17,26,2,2,0,27,10
246,Yemen,23,18,22,56,15,0,23,7
247,Zambia,16,59,27,25,9,0,74,11
248,Zimbabwe,14,48,23,38,1,0,45,2
